pair_id,split,clean_epoch_id,artifact_epoch_id,artifact_type,target_snr_db,method,snr_db,snr_gain_db,rmse,rrmse
669,test,63,emg:63,muscle,5.0,hybrid_wavelet_dae,5.445491578284366,0.4454915782843658,128.98196003673164,0.534226492541526
670,test,500,emg:500,muscle,5.0,noisy_input,5.000000000000001,0.0,102.14241982931574,0.5623413251903491
670,test,500,emg:500,muscle,5.0,wavelet_only,5.654902980809215,0.6549029808092142,94.72421030797443,0.5215006462663369
670,test,500,emg:500,muscle,5.0,hybrid_wavelet_dae,4.297982847241338,-0.7020171527586632,110.74063259207526,0.6096784684395344
671,test,1,emg:1,muscle,5.0,noisy_input,5.0,0.0,103.4862207605914,0.5623413251903491
671,test,1,emg:1,muscle,5.0,wavelet_only,6.0379923014323325,1.0379923014323325,91.82964640679546,0.4989998153630848
671,test,1,emg:1,muscle,5.0,hybrid_wavelet_dae,4.5933580588193665,-0.40664194118063346,108.44627127320497,0.5892941055486822
672,test,42,emg:42,muscle,5.0,noisy_input,5.000000000000001,0.0,138.56683215709117,0.562341325190349
672,test,42,emg:42,muscle,5.0,wavelet_only,4.289045924364794,-0.7109540756352066,150.38585602547315,0.6103060902148352
672,test,42,emg:42,muscle,5.0,hybrid_wavelet_dae,5.095620884529291,0.09562088452929007,137.04974892161604,0.5561845950134335
673,test,529,emg:529,muscle,5.0,noisy_input,4.999999999999999,0.0,93.69919808900525,0.5623413251903491
673,test,529,emg:529,muscle,5.0,wavelet_only,5.181290330744293,0.1812903307442939,91.76379320291822,0.5507258773464069
673,test,529,emg:529,muscle,5.0,hybrid_wavelet_dae,5.83512905755308,0.8351290575530808,85.10977084204167,0.5107913653273483
674,test,167,emg:167,muscle,5.0,noisy_input,5.000000000000001,0.0,109.87883574013267,0.562341325190349
674,test,167,emg:167,muscle,5.0,wavelet_only,4.5893995123436655,-0.4106004876563354,115.1977703569374,0.5895627343076493
674,test,167,emg:167,muscle,5.0,hybrid_wavelet_dae,3.7704901694932156,-1.2295098305067853,126.58712620585017,0.6478515341297498
675,test,76,emg:76,muscle,5.0,noisy_input,5.0,0.0,77.11420351973312,0.562341325190349
675,test,76,emg:76,muscle,5.0,wavelet_only,4.885361958813722,-0.11463804118627774,78.13871759697723,0.5698124080463911
